rno,rname,class,test_result
1,Stonewall,A,10
2,December,A,31
3,Jasper,A,33
4,Matana,A,40
5,Ankita,A,42
6,Eve,A,48
7,Richmond,A,78
8,Jef,A,86
9,Star,A,97
10,Katelyn,A,98
11,Fraser,B,4
12,Mario,B,25
13,Pan,B,27
14,Dunham,B,32
15,Cowessess,B,33
16,Gertie,B,34
17,Nieves,B,54
18,Martuska,B,60
19,Anselmo,B,88
20,Fons,C,2
21,Jett,C,18
22,Kealoha,C,25
23,Poul,C,39
24,Elkin,C,42
25,Parish,C,47
26,Datya,C,64
27,Paulo,C,88
28,Alcott,C,95
29,Mairi,D,2
30,Bernold,D,14
31,Shalonda,D,19
32,Lis,D,20
33,Chevalier,D,23
34,Mauno,D,51
35,Eaton,D,51
36,Viona,D,69
37,Persis,D,72
38,Fons,D,87
39,Briley,D,94
40,Jitendra,E,20
41,Kitty,E,32
42,Liberty,E,40
43,Jamil,E,41
44,Hildegard,E,44
45,Kathleen,E,53
46,Kenneally,E,58
47,Rachel,E,61
48,Joab,E,66
49,Dea,E,87
50,Gaetano,E,99
